recno,Karmn,Name,GJ,RAICRS,DEICRS,SpType,l_vsini,vsini,Age,factive,SimbadName,_RA_icrs,_DE_icrs
78,"J07361-031 ",BD-02 2198,"  282C",114.02979166666665,-3.112027777777777,M1.0V," ",3.1,0.3,1,BD-02 2198,114.02979166666665,-3.112027777777777
79,"J07386-212 ",LP 763-001,"  3459",114.67279166666665,-21.226611111111108,M3.0V,<,2.0,5.0,0,LP 763-001,114.67279166666665,-21.226611111111108
80,"J07393+021 ",BD+02 1729,"   281",114.84537499999999,2.1826111111111106,M0.0V,<,2.0,0.1,1,BD+02 1729,114.84537499999999,2.1826111111111106
81,"J07472+503 ",2M J07471385+5020386,"     0",116.80766666666665,50.344361111111105,M4.0V," ",10.1,0.3,1,2MASS J07471385+5020386,116.80766666666665,50.344361111111105
82,"J07558+833 ",GJ 1101,"  1101",118.96379166666665,83.38213888888887,M4.5V," ",12.1,0.6,1,GJ 1101,118.96379166666665,83.38213888888887
83,"J07582+413 ",GJ 1105,"  1105",119.55416666666665,41.300749999999994,M3.5V,<,2.0,5.0,0,GJ 1105,119.55416666666665,41.300749999999994
84,"J08119+087 ",Ross 619,"   299",122.99454166666665,8.75111111111111,M4.5V,<,2.0,5.0,1,Ross 619,122.99454166666665,8.75111111111111
85,"J08126-215 ",GJ 300,"   300",123.17041666666665,-21.554916666666664,M4.0V,<,2.0,5.0,0,GJ 300,123.17041666666665,-21.554916666666664
86,"J08161+013 ",GJ 2066,"  2066",124.03162499999998,1.3028333333333333,M2.0V,<,2.0,5.0,0,GJ 2066,124.03162499999998,1.3028333333333333
87,"J08293+039 ",2M J08292191+0355092,"     0",127.34091666666664,3.9189722222222216,M2.5V,<,2.0,0.1,0,2MASS J08292191+0355092,127.34091666666664,3.9189722222222216
88,"J08315+730 ",LP 035-219,"     0",127.88454166666665,73.06388888888888,M4.0V,<,2.0,5.0,0,LP 035-219,127.88454166666665,73.06388888888888
89,"J08358+680 ",G 234-037,"  3506",128.94466666666665,68.06677777777777,M2.5V,<,2.0,5.0,0,G 234-037,128.94466666666665,68.06677777777777
90,"J08402+314 ",LSPM J0840+3127,"     0",130.067625,31.45241666666666,M3.5V,<,2.0,5.0,0,LSPM J0840+3127,130.067625,31.45241666666666
91,"J08409-234 ",LP 844-008,"   317",130.24454166666663,-23.452805555555553,M3.5V,<,2.0,5.0,0,LP 844-008,130.24454166666663,-23.452805555555553
92,"J08413+594 ",LP 090-018,"  3512",130.33166666666665,59.491833333333325,M5.5V,<,2.0,5.0,1,LP 090-018,130.33166666666665,59.491833333333325
93,"J08526+283 ",rho Cnc B,"  324B",133.16791666666666,28.315277777777773,M4.5V,<,2.0,0.6,0,rho Cnc B,133.16791666666666,28.315277777777773
94,"J09005+465 ",GJ 1119,"  1119",135.13237499999997,46.58416666666666,M4.5V,<,2.0,0.1,1,GJ 1119,135.13237499999997,46.58416666666666
95,"J09028+680 ",LP 060-179,"  3526",135.72245833333332,68.06441666666666,M4.0V,<,2.0,5.0,0,LP 060-179,135.72245833333332,68.06441666666666
96,"J09133+688 ",G 234-057,"     0",138.347625,68.87419444444444,M2.5V,<,2.0,0.3,1,G 234-057,138.347625,68.87419444444444
97,"J09140+196 ",LP 427-016,"     0",138.5125833333333,19.66758333333333,M3.0V,<,2.0,0.1,0,LP 427-016,138.5125833333333,19.66758333333333
98,"J09143+526 ",HD 79210,"  338A",138.58391666666665,52.68416666666666,M0.0V,<,2.0,0.3,1,HD 79210,138.58391666666665,52.68416666666666
99,"J09144+526 ",HD 79211,"  338B",138.59166666666664,52.68352777777777,M0.0V," ",2.3,0.3,1,HD 79211,138.59166666666664,52.68352777777777
100,"J09161+018 ",RX J0916.1+0153,"     0",139.04266666666663,1.8853611111111108,M4.0V," ",10.4,0.3,1,RX J0916.1+0153,139.04266666666663,1.8853611111111108
101,"J09163-186 ",LP 787-052,"  3543",139.0845833333333,-18.625166666666665,M1.5V,<,2.0,0.3,1,LP 787-052,139.0845833333333,-18.625166666666665
102,"J09307+003 ",GJ 1125,"  1125",142.6833333333333,0.3203055555555555,M3.5V,<,2.0,5.0,0,GJ 1125,142.6833333333333,0.3203055555555555
103,"J09360-216 ",GJ 357,"   357",144.00745833333332,-21.665055555555554,M2.5V,<,2.0,5.0,0,GJ 357,144.00745833333332,-21.665055555555554
104,"J09411+132 ",Ross 85,"   361",145.29025,13.208944444444443,M1.5V,<,2.0,0.3,0,Ross 85,145.29025,13.208944444444443
