PM,Vmag,Jmag,NUV-Ks,FNUV,FFUV,FX,EWHa,logR,fp.AO,fp.Ha,fp.Sa,fp.SW,fp,LSPM,GALEX,1RXS,L13,2M,Simbad,_RA,_DE
I18507-3147,11.19,8.31,10.58,219.94,,2.3E-12,1.38,-5.57,No,No,No,,"N,Y",0,0,1,0,2M,Simbad,282.685333,-31.796501
I19034+4832,13.06,9.64,12.08,16.49,,,,-6.24,,,,No,N,0,1,0,0,2M,Simbad,285.873566,48.547798
I19053-5434,13.3,9.41,11.41,37.81,,,2.79,-5.87,,No,,,N,0,1,0,0,2M,Simbad,286.334625,-54.578552
I19062+1741,12.81,9.57,10.95,49.18,16.9,6.1E-13,2.27,-5.7,,No,No,,N,0,0,1,0,2M,Simbad,286.56308,17.697052
I19163+1539,12.76,9.85,10.57,53.38,,,-0.39,-5.55,,No,,,N,0,0,0,0,2M,Simbad,289.098175,15.662133
I19241-0931,13.96,9.83,12.47,10.06,,,1.04,-6.34,,No,No,,N,0,1,0,0,2M,Simbad,291.045593,-9.526146
I19266-2132,13.51,9.97,12.12,11.47,,,,-6.22,,,,No,N,0,0,0,0,2M,Simbad,291.673218,-21.539093
I19287+5401,13.05,9.77,11.03,39.15,,,0.23,-5.75,,No,,No,N,1,0,0,0,2M,Simbad,292.187988,54.025921
I19428-4406,13.35,9.43,11.18,45.09,8.95,7.0E-13,2.31,-7.48,,No,,No,L,0,1,1,0,2M,Simbad,295.721893,-44.10775
I19442-5146,12.87,9.93,11.19,28.7,,,-0.44,-5.88,,No,,,N,0,0,0,0,2M,Simbad,296.050812,-51.782547
I19472+6402,12.43,9.25,11.58,35.49,,5.3E-13,2.06,-5.99,,No,,,N,0,1,1,0,2M,Simbad,296.809998,64.043831
I19515-4025,13.54,9.58,12.76,9.4,,,,-6.48,,,,,N,0,1,0,0,2M,Simbad,297.899872,-40.422489
I19542+5346,13.87,9.94,12.83,6.17,,,,-6.5,,,,No,N,1,0,0,0,2M,Simbad,298.571899,53.778431
I19560-3207,11.59,8.71,11.25,83.67,18.07,,0.69,-7.48,,No,,No,"N,R",0,1,0,0,2M,Simbad,299.018219,-32.127144
I20011-6022,13.09,9.55,10.81,58.28,15.25,7.3E-13,3.01,-5.64,,No,,,N,0,1,1,0,2M,Simbad,300.275177,-60.373402
I20037+6425,11.42,8.27,11.14,128.59,21.5,4.8E-13,-0.1,-5.75,,No,,,N,0,1,1,1,2M,Simbad,300.949219,64.429741
I20047+5113,13.57,9.49,13.14,7.44,,,,-6.66,,,,No,N,1,0,0,0,2M,Simbad,301.197662,51.221371
I20070+6709,13.61,9.51,13.36,5.79,,,,-6.75,,,,,N,1,0,0,0,2M,Simbad,301.758057,67.164322
I20077-3145,12.19,8.27,12.03,61.52,16.73,1.5E-12,-0.29,-6.14,,No,,,N,0,1,1,0,2M,Simbad,301.937378,-31.753885
I20094-2313,11.59,8.89,10.38,146.73,14.09,8.3E-13,0.87,-5.46,,No,No,No,N,0,1,1,0,2M,Simbad,302.351929,-23.221821
I20108-3844,13.65,9.55,12.95,7.66,,,,-6.5,,,,,N,0,0,0,0,2M,Simbad,302.710602,-38.742397
I20187+1550,12.13,8.17,13.02,25.43,,9.1E-14,-0.01,-6.56,,No,,,N,1,0,0,1,2M,Simbad,304.685699,15.846189
I20228+0825,13.47,9.89,12.24,10.14,,,,-6.2,,,,,N,1,1,0,0,2M,Simbad,305.703186,8.4224
I20244+2307,13.6,9.62,11.94,19.59,,,,-6.11,,,,,N,0,0,0,0,2M,Simbad,306.105042,23.12813
I20263+0431,12.37,9.91,10.5,49.12,4.65,4.0E-13,-0.01,-5.51,,No,,,N,0,0,1,0,2M,Simbad,306.583466,4.526257
I20287-1128,12.43,8.39,11.14,127.93,34.15,1.2E-12,4.09,-5.77,,No,No,,N,0,0,1,0,2M,Simbad,307.181763,-11.475225
I20301+7950,12.3,8.48,11.22,105.39,,3.1E-12,3.92,-5.78,,No,,,N,0,0,1,1,2M,Simbad,307.529663,79.846329
I20324+2608,13.9,9.83,12.6,7.66,,,,-6.28,,,,No,N,0,0,0,0,2M,Simbad,308.120819,26.14341
I20348+3157,12.87,9.72,11.67,21.09,,,,-6.04,,,,,N,0,0,0,0,2M,Simbad,308.709534,31.963232
I20396+0458E,9.63,5.51,11.56,1095.72,24.8,3.7E-13,-0.75,-5.84,,No,,,N,1,1,1,1,2M,Simbad,309.907318,4.971921
I20423+5311,12.82,9.62,11.21,37.03,,1.2E-13,,-5.83,,,,No,N,0,0,1,0,2M,Simbad,310.591797,53.192577
I20435+2407,11.95,8.24,10.96,164.95,,2.9E-12,3.16,-5.67,No,No,No,No,N,0,0,1,1,2M,Simbad,310.89386,24.127996
I20451-3120,8.81,5.44,11.09,2062.18,384.92,4.7E-11,1.97,-5.79,,No,,No,"N,Y",0,1,1,0,2M,Simbad,311.289673,-31.340851
I20469-0259,12.04,9.12,10.86,81.16,15.07,6.0E-13,1.39,-5.71,,No,No,,"N,Y",0,1,1,0,2M,Simbad,311.741516,-2.992277
I20504+4144,13.27,9.61,11.62,25.49,,1.2E-13,0.32,-5.96,,No,,No,N,0,0,1,0,2M,Simbad,312.624542,41.741318
I20514+3104,12.13,9.21,11.29,51.81,,,-0.34,-5.95,No,No,,,N,1,0,0,0,2M,Simbad,312.870453,31.072861
I20532-0221,12.98,9.33,11.81,28.79,,4.4E-13,2.06,-7.48,,No,No,,L,0,0,1,0,2M,Simbad,313.311096,-2.356066
I20549+6735,12.46,8.75,11.91,43.05,8.57,,-0.18,-6.08,,No,,,N,1,1,0,1,2M,Simbad,313.72699,67.585594
I20568-0450,11.87,7.82,12.28,66.34,24.87,2.2E-12,1.45,-7.48,,No,No,,L,0,0,1,0,2M,Simbad,314.202087,-4.846942
I21000+4004W,10.12,6.67,11.59,374.46,,7.2E-12,2.51,-7.48,,No,,,L,1,0,1,1,2M,Simbad,315.022156,40.070316
I21010+2615,13.18,9.66,11.49,27.62,,8.0E-13,0.75,-5.93,No,No,No,No,N,0,0,1,0,2M,Simbad,315.257629,26.261053
